2025-07-26 17:32:05,219 - 502517 | ARCH Will the match be a draw? | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,219 - 512644 | Will Trump repeal Presidential term limi | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,219 - 512812 | X and Truth Social merger announced befo | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,219 - 513304 | Will Trump impose large tariffs in his f | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,220 - 513317 | Bird flu pandemic before August 2025? | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,220 - 513651 | Doge ETF approved by July 31? | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,220 - 514374 | Ripple ETF approved by July 31? | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,220 - 515867 | Litecoin ETF approved by July 31? | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,220 - 516482 | Will federal spending decrease by less t | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,220 - 516483 | Will federal spending decrease by $250-5 | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,220 - 516484 | Will federal spending decrease by $500-7 | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,220 - 516485 | Will federal spending decrease by $750b- | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,220 - 516486 | Will federal spending decrease by $1-2t  | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,220 - 516487 | Will federal spending decrease by more t | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,221 - 516706 | Fed rate hike in 2025? | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,221 - 516710 | US recession in 2025? | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,221 - 516711 | Fed emergency rate cut in 2025? | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,221 - 516712 | Tether insolvent in 2025? | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,221 - 516713 | USDT depeg in 2025? | prob=None | fetch_duration=0.060s
2025-07-26 17:32:05,221 - 516714 | Weed rescheduled in 2025? | prob=None | fetch_duration=0.060s
